> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
 11323385.49  -3843246.24
 11283566.38  -4122093.66
 11211582.63  -4112738.56
 11177180.94  -4279468.19
 11133200.79  -4270645.63
 11012507.60  -4772328.24
 10439636.94  -4653552.49
 10406824.56  -4785011.67
 10419430.64  -4784655.38
 10396596.04  -4882636.67
 10464473.26  -4893537.77
 10416224.30  -5078778.98
 10361327.11  -5066509.64
 10261120.75  -5322076.03
 10486886.49  -5396839.16
 10335118.96  -5866112.74
 10292302.28  -5848767.13
 10241610.01  -5995766.53
  9964323.54  -5882073.87
  9924134.27  -5967731.87
  9894111.82  -5951028.00
  9755700.94  -6265137.11
 10031436.38  -6406118.80
  9894256.11  -6656132.20
  9960196.15  -6697466.45
  9780323.75  -6981889.33
  9863134.42  -7019281.57
  9792282.02  -7127322.86
  9764757.26  -7108628.78
  9630414.04  -7314950.85
  9577400.78  -7276711.47
  9501609.22  -7403172.00
  9480649.62  -7388910.94
  9421608.92  -7482675.27
  9181314.82  -7320256.68
  9143533.00  -7373701.94
  8937420.43  -7235865.29
  8829523.23  -7381577.85
  8851759.43  -7394113.95
  8656124.66  -7640091.08
  8552434.16  -7564054.59
  8428790.15  -7700759.26
  8356433.09  -7648383.00
  8230129.61  -7804636.57
  8251025.17  -7823897.31
  7967640.11  -8117351.48
  8054608.43  -8196997.64
  7936274.89  -8316794.34
  7705468.12  -8106282.38
  7611239.12  -8201329.93
  7627914.80  -8214499.68
  7415448.79  -8409461.55
  7398173.33  -8391310.82
  7243094.39  -8524430.38
  7073457.47  -8350982.23
  6911948.84  -8467240.79
  6868919.51  -8423832.48
  6784964.56  -8503416.05
  6687119.10  -8410666.96
  6542435.61  -8517559.94
  6240870.10  -8191408.63
  5858154.87  -8513516.80
  5896543.64  -8557202.21
  5756029.16  -8677917.01
  5752740.47  -8673632.28
  5716312.79  -8706020.48
  5702626.39  -8689390.85
  5651322.63  -8730625.86
  5616547.15  -8686610.71
  5197702.73  -8962944.55
  5158277.85  -8990606.56
  4937594.25  -9163846.29
  4980228.77  -9226283.70
  4912402.17  -9273336.58
  4961496.54  -9357790.45
  4727017.32  -9492092.12
  4869846.20  -9746105.12
  4588965.12  -9893965.37
  4650590.61 -10031376.41
  4606272.86 -10050523.92
  4609629.71 -10056235.75
  4502558.38 -10105043.60
  4513421.89 -10123286.60
  4432267.29 -10161427.68
  4500146.71 -10329493.51
  4251261.69 -10435978.45
  4260044.81 -10459349.24
  3950715.97 -10609847.99
  3979388.39 -10680075.12
  3872754.42 -10754864.69
> 9388    5 N TRANSFORM FAULT, SCOTIA SEA                                         
   620327.42  -6958819.16
   673111.78  -7014665.69
   727936.18  -7062924.40
   812411.54  -7127674.92
   883797.42  -7176846.93
   958154.76  -7214949.27
